RT_ID,Or_ID,Reason,Return_Refund,Dates
RR_301000403,OR_31007578,"Defective Product",Rejected,2024-12-11
RR_301000404,OR_31006556,"Late Delivery",Approved,2023-06-29
RR_301000405,OR_31004075,"Late Delivery",Rejected,2024-01-16
RR_301000406,OR_31004196,"Late Delivery",Rejected,2024-05-04
RR_301000407,OR_31006435,"Late Delivery",Rejected,2024-02-06
RR_301000408,OR_31003880,"Defective Product",Rejected,2023-07-14
RR_301000409,OR_31008749,"Late Delivery",Approved,2024-03-12
RR_301000410,OR_31004300,"Defective Product",Rejected,2023-12-08
RR_301000411,OR_31006759,"Wrong Item Shipped",Approved,2024-11-01
RR_301000412,OR_31007029,"Late Delivery",Approved,2024-07-15
RR_301000413,OR_31009821,"Defective Product",Approved,2023-09-21
RR_301000414,OR_31007053,"Late Delivery",Rejected,2023-03-13
RR_301000415,OR_31008721,"Wrong Item Shipped",Approved,2024-01-03
RR_301000416,OR_31004439,"Defective Product",Approved,2024-08-01
RR_301000417,OR_31006395,"Late Delivery",Rejected,2023-08-21
RR_301000418,OR_31005552,"Wrong Item Shipped",Approved,2023-03-18
RR_301000419,OR_31002585,"Late Delivery",Rejected,2023-03-09
RR_301000420,OR_31005181,"Wrong Item Shipped",Approved,2023-10-20
RR_301000421,OR_31008452,"Defective Product",Approved,2023-02-23
RR_301000422,OR_31003060,"Late Delivery",Approved,2023-11-15
RR_301000423,OR_31000631,"Wrong Item Shipped",Rejected,2023-03-06
RR_301000424,OR_31008194,"Defective Product",Rejected,2024-10-09
RR_301000425,OR_31006456,"Late Delivery",Approved,2023-01-09
RR_301000426,OR_31008122,"Late Delivery",Rejected,2024-05-26
RR_301000427,OR_31005267,"Wrong Item Shipped",Rejected,2024-01-13
RR_301000428,OR_31001719,"Late Delivery",Approved,2023-09-22
RR_301000429,OR_31003223,"Wrong Item Shipped",Rejected,2024-12-11
RR_301000430,OR_31004204,"Wrong Item Shipped",Rejected,2024-03-15
RR_301000431,OR_31009173,"Late Delivery",Rejected,2024-01-18
RR_301000432,OR_31001732,"Late Delivery",Approved,2023-09-28
RR_301000433,OR_31000460,"Defective Product",Approved,2023-12-15
RR_301000434,OR_31005128,"Late Delivery",Approved,2023-01-25
RR_301000435,OR_31001676,"Late Delivery",Approved,2024-04-06
RR_301000436,OR_31008694,"Defective Product",Approved,2024-09-13
RR_301000437,OR_31007873,"Wrong Item Shipped",Rejected,2023-04-25
RR_301000438,OR_31006495,"Defective Product",Rejected,2023-07-20
RR_301000439,OR_31002655,"Late Delivery",Approved,2024-01-09
RR_301000440,OR_31002355,"Late Delivery",Rejected,2024-11-24
RR_301000441,OR_31007873,"Wrong Item Shipped",Approved,2024-10-14
RR_301000442,OR_31001221,"Wrong Item Shipped",Rejected,2023-05-02
RR_301000443,OR_31003789,"Defective Product",Rejected,2024-10-29
RR_301000444,OR_31001595,"Wrong Item Shipped",Approved,2023-09-02
RR_301000445,OR_31008282,"Late Delivery",Approved,2024-05-05
RR_301000446,OR_31006498,"Late Delivery",Rejected,2023-10-25
RR_301000447,OR_31007024,"Wrong Item Shipped",Approved,2023-03-20
RR_301000448,OR_31000149,"Defective Product",Rejected,2023-01-31
RR_301000449,OR_31009902,"Defective Product",Approved,2024-04-05
RR_301000450,OR_31001052,"Wrong Item Shipped",Rejected,2024-09-24
RR_301000451,OR_31001398,"Defective Product",Rejected,2023-09-03
RR_301000452,OR_31005775,"Late Delivery",Approved,2024-04-19
RR_301000453,OR_31004310,"Defective Product",Approved,2024-11-13
RR_301000454,OR_31004326,"Late Delivery",Rejected,2024-01-15
RR_301000455,OR_31000391,"Late Delivery",Approved,2024-07-07
RR_301000456,OR_31007993,"Defective Product",Rejected,2023-03-29
RR_301000457,OR_31004069,"Wrong Item Shipped",Approved,2023-02-13
RR_301000458,OR_31000541,"Late Delivery",Approved,2024-12-23
RR_301000459,OR_31008442,"Defective Product",Rejected,2024-03-10
RR_301000460,OR_31004061,"Defective Product",Rejected,2024-01-12
RR_301000461,OR_31006906,"Late Delivery",Rejected,2024-01-30
RR_301000462,OR_31003809,"Defective Product",Rejected,2023-12-05
RR_301000463,OR_31000229,"Late Delivery",Rejected,2024-01-28
RR_301000464,OR_31009488,"Wrong Item Shipped",Rejected,2023-04-17
RR_301000465,OR_31003063,"Late Delivery",Rejected,2024-12-13
RR_301000466,OR_31003031,"Late Delivery",Rejected,2023-03-30
RR_301000467,OR_31006141,"Wrong Item Shipped",Approved,2023-11-05
RR_301000468,OR_31000863,"Late Delivery",Rejected,2023-07-15
RR_301000469,OR_31001436,"Late Delivery",Approved,2024-07-16
RR_301000470,OR_31002060,"Wrong Item Shipped",Rejected,2024-05-10
RR_301000471,OR_31007660,"Wrong Item Shipped",Approved,2023-02-02
RR_301000472,OR_31000175,"Defective Product",Rejected,2024-05-09
RR_301000473,OR_31002644,"Wrong Item Shipped",Approved,2023-08-05
RR_301000474,OR_31001204,"Wrong Item Shipped",Approved,2023-01-11
RR_301000475,OR_31000013,"Defective Product",Approved,2024-11-29
RR_301000476,OR_31004597,"Wrong Item Shipped",Approved,2023-02-09
RR_301000477,OR_31006400,"Wrong Item Shipped",Approved,2024-01-18
RR_301000478,OR_31000462,"Defective Product",Approved,2023-06-26
RR_301000479,OR_31002897,"Defective Product",Rejected,2023-04-19
RR_301000480,OR_31005083,"Wrong Item Shipped",Rejected,2024-09-19
RR_301000481,OR_31004359,"Defective Product",Rejected,2024-04-18
RR_301000482,OR_31005254,"Late Delivery",Approved,2023-11-14
RR_301000483,OR_31001824,"Defective Product",Approved,2023-04-14
RR_301000484,OR_31004361,"Wrong Item Shipped",Rejected,2024-08-03
RR_301000485,OR_31006352,"Late Delivery",Rejected,2024-12-13
RR_301000486,OR_31007020,"Late Delivery",Approved,2023-06-05
RR_301000487,OR_31002519,"Wrong Item Shipped",Rejected,2024-10-02
RR_301000488,OR_31005259,"Defective Product",Approved,2024-07-28
RR_301000489,OR_31009094,"Late Delivery",Approved,2023-01-09
RR_301000490,OR_31001213,"Defective Product",Approved,2024-05-29
RR_301000491,OR_31002704,"Late Delivery",Rejected,2023-01-10
RR_301000492,OR_31001524,"Late Delivery",Rejected,2023-04-24
RR_301000493,OR_31009592,"Late Delivery",Approved,2024-04-12
RR_301000494,OR_31005709,"Late Delivery",Rejected,2024-12-31
RR_301000495,OR_31001036,"Late Delivery",Approved,2023-07-04
RR_301000496,OR_31000162,"Wrong Item Shipped",Approved,2023-05-05
RR_301000497,OR_31002999,"Defective Product",Approved,2024-03-05
RR_301000498,OR_31008394,"Late Delivery",Rejected,2023-09-17
RR_301000499,OR_31007165,"Defective Product",Approved,2023-01-22
RR_301000500,OR_31009570,"Wrong Item Shipped",Approved,2024-09-19
RR_301000501,OR_31009530,"Wrong Item Shipped",Rejected,2024-01-12
RR_301000502,OR_31008590,"Defective Product",Rejected,2023-10-20
RR_301000503,OR_31004159,"Wrong Item Shipped",Rejected,2024-06-13
RR_301000504,OR_31001762,"Late Delivery",Rejected,2023-02-08
RR_301000505,OR_31007429,"Wrong Item Shipped",Approved,2023-05-27
RR_301000506,OR_31002004,"Late Delivery",Rejected,2024-08-29
RR_301000507,OR_31000063,"Late Delivery",Rejected,2023-04-22
RR_301000508,OR_31007155,"Late Delivery",Rejected,2024-10-09
RR_301000509,OR_31001331,"Wrong Item Shipped",Approved,2023-03-18
RR_301000510,OR_31007743,"Late Delivery",Approved,2023-05-12
RR_301000511,OR_31006584,"Late Delivery",Approved,2023-08-25
RR_301000512,OR_31005103,"Defective Product",Rejected,2024-04-04
RR_301000513,OR_31001050,"Late Delivery",Approved,2024-12-27
RR_301000514,OR_31005708,"Defective Product",Rejected,2023-07-03
RR_301000515,OR_31009189,"Defective Product",Rejected,2024-04-27
RR_301000516,OR_31003115,"Wrong Item Shipped",Approved,2024-07-16
RR_301000517,OR_31002552,"Late Delivery",Approved,2023-06-05
RR_301000518,OR_31004577,"Late Delivery",Rejected,2024-06-04
RR_301000519,OR_31003982,"Late Delivery",Approved,2023-02-18
RR_301000520,OR_31008130,"Wrong Item Shipped",Rejected,2024-11-20
RR_301000521,OR_31009141,"Wrong Item Shipped",Rejected,2023-07-03
RR_301000522,OR_31003689,"Defective Product",Approved,2023-04-02
RR_301000523,OR_31009243,"Late Delivery",Rejected,2024-07-24
RR_301000524,OR_31009469,"Defective Product",Rejected,2024-12-14
RR_301000525,OR_31003653,"Defective Product",Rejected,2024-07-24
RR_301000526,OR_31000177,"Wrong Item Shipped",Rejected,2023-03-02
RR_301000527,OR_31005139,"Defective Product",Approved,2023-12-22
RR_301000528,OR_31004241,"Defective Product",Approved,2023-11-14
RR_301000529,OR_31001254,"Late Delivery",Approved,2023-01-15
RR_301000530,OR_31006838,"Late Delivery",Rejected,2024-05-19
RR_301000531,OR_31000474,"Late Delivery",Rejected,2024-12-28
RR_301000532,OR_31009750,"Defective Product",Rejected,2023-11-06
RR_301000533,OR_31006577,"Wrong Item Shipped",Rejected,2023-01-10
RR_301000534,OR_31006147,"Defective Product",Approved,2023-07-09
RR_301000535,OR_31008590,"Late Delivery",Approved,2023-06-21
RR_301000536,OR_31005815,"Late Delivery",Rejected,2024-09-05
RR_301000537,OR_31002957,"Defective Product",Rejected,2023-06-19
RR_301000538,OR_31005400,"Wrong Item Shipped",Approved,2023-11-10
RR_301000539,OR_31006044,"Wrong Item Shipped",Rejected,2024-01-21
RR_301000540,OR_31001965,"Defective Product",Rejected,2024-02-29
RR_301000541,OR_31009237,"Wrong Item Shipped",Approved,2023-10-28
RR_301000542,OR_31004004,"Late Delivery",Approved,2024-01-27
RR_301000543,OR_31003334,"Defective Product",Approved,2023-07-16
RR_301000544,OR_31008106,"Defective Product",Rejected,2023-03-01
RR_301000545,OR_31008264,"Defective Product",Rejected,2023-05-28
RR_301000546,OR_31006557,"Late Delivery",Rejected,2024-03-22
RR_301000547,OR_31003268,"Defective Product",Approved,2024-03-19
RR_301000548,OR_31005426,"Late Delivery",Rejected,2024-01-13
RR_301000549,OR_31001548,"Late Delivery",Approved,2023-09-29
RR_301000550,OR_31009686,"Defective Product",Rejected,2023-03-22
RR_301000551,OR_31001879,"Defective Product",Rejected,2023-12-03
RR_301000552,OR_31008864,"Late Delivery",Approved,2023-02-28
RR_301000553,OR_31004455,"Late Delivery",Approved,2023-06-04
RR_301000554,OR_31000174,"Wrong Item Shipped",Rejected,2023-07-03
RR_301000555,OR_31000450,"Late Delivery",Approved,2023-04-05
RR_301000556,OR_31009462,"Defective Product",Approved,2023-12-02
RR_301000557,OR_31004275,"Defective Product",Rejected,2024-08-17
RR_301000558,OR_31004005,"Late Delivery",Rejected,2024-06-27
RR_301000559,OR_31001527,"Defective Product",Rejected,2024-01-28
RR_301000560,OR_31003140,"Defective Product",Rejected,2024-06-19
RR_301000561,OR_31008139,"Late Delivery",Rejected,2024-09-11
RR_301000562,OR_31007824,"Defective Product",Approved,2024-11-19
RR_301000563,OR_31001494,"Defective Product",Rejected,2024-01-19
RR_301000564,OR_31001594,"Defective Product",Rejected,2023-02-19
RR_301000565,OR_31004629,"Late Delivery",Approved,2023-03-24
RR_301000566,OR_31000305,"Defective Product",Rejected,2024-12-06
RR_301000567,OR_31009105,"Late Delivery",Rejected,2024-03-08
RR_301000568,OR_31004530,"Defective Product",Approved,2024-12-01
RR_301000569,OR_31008083,"Wrong Item Shipped",Approved,2023-06-27
RR_301000570,OR_31008635,"Wrong Item Shipped",Rejected,2023-12-24
RR_301000571,OR_31003190,"Wrong Item Shipped",Approved,2024-10-01
RR_301000572,OR_31008752,"Wrong Item Shipped",Rejected,2023-01-26
RR_301000573,OR_31002029,"Wrong Item Shipped",Approved,2024-02-23
RR_301000574,OR_31000350,"Defective Product",Approved,2023-02-11
RR_301000575,OR_31009198,"Defective Product",Approved,2023-03-05
RR_301000576,OR_31006416,"Late Delivery",Rejected,2023-01-09
RR_301000577,OR_31009209,"Defective Product",Rejected,2023-05-17
RR_301000578,OR_31007533,"Late Delivery",Rejected,2024-12-05
RR_301000579,OR_31007734,"Wrong Item Shipped",Rejected,2024-09-23
RR_301000580,OR_31009489,"Wrong Item Shipped",Rejected,2024-07-25
RR_301000581,OR_31001051,"Defective Product",Approved,2023-12-20
RR_301000582,OR_31001059,"Wrong Item Shipped",Rejected,2024-08-27
RR_301000583,OR_31008495,"Defective Product",Approved,2024-04-08
RR_301000584,OR_31004209,"Defective Product",Rejected,2023-03-18
RR_301000585,OR_31000091,"Defective Product",Approved,2023-10-19
RR_301000586,OR_31007690,"Late Delivery",Rejected,2023-09-07
RR_301000587,OR_31006339,"Defective Product",Rejected,2024-08-30
RR_301000588,OR_31001818,"Defective Product",Approved,2024-09-18
RR_301000589,OR_31007113,"Late Delivery",Approved,2024-06-02
RR_301000590,OR_31002452,"Wrong Item Shipped",Rejected,2024-07-31
RR_301000591,OR_31000281,"Wrong Item Shipped",Rejected,2024-09-24
RR_301000592,OR_31003568,"Wrong Item Shipped",Approved,2023-09-07
RR_301000593,OR_31006551,"Late Delivery",Rejected,2024-04-22
RR_301000594,OR_31008719,"Defective Product",Rejected,2024-05-15
RR_301000595,OR_31009783,"Defective Product",Rejected,2024-12-25
RR_301000596,OR_31004253,"Late Delivery",Rejected,2024-07-19
RR_301000597,OR_31008017,"Wrong Item Shipped",Approved,2023-08-22
RR_301000598,OR_31001971,"Wrong Item Shipped",Rejected,2023-07-14
RR_301000599,OR_31001246,"Wrong Item Shipped",Approved,2023-12-29
RR_301000600,OR_31008093,"Defective Product",Approved,2023-11-20
RR_301000601,OR_31001673,"Defective Product",Approved,2023-10-28
RR_301000602,OR_31001110,"Defective Product",Approved,2023-03-31
RR_301000603,OR_31004671,"Late Delivery",Rejected,2024-11-02
RR_301000604,OR_31001274,"Wrong Item Shipped",Rejected,2023-06-02
RR_301000605,OR_31000626,"Wrong Item Shipped",Rejected,2024-07-30
RR_301000606,OR_31001637,"Late Delivery",Approved,2024-10-08
RR_301000607,OR_31000720,"Late Delivery",Approved,2023-11-10
RR_301000608,OR_31004047,"Late Delivery",Rejected,2023-10-13
RR_301000609,OR_31004013,"Defective Product",Approved,2024-11-05
RR_301000610,OR_31000625,"Defective Product",Rejected,2023-04-09
RR_301000611,OR_31001014,"Defective Product",Rejected,2024-02-29
RR_301000612,OR_31002358,"Late Delivery",Approved,2024-02-07
RR_301000613,OR_31006798,"Wrong Item Shipped",Approved,2024-02-07
RR_301000614,OR_31004263,"Wrong Item Shipped",Approved,2023-08-10
RR_301000615,OR_31009484,"Late Delivery",Rejected,2024-08-29
RR_301000616,OR_31005520,"Late Delivery",Approved,2024-01-10
RR_301000617,OR_31002805,"Defective Product",Approved,2024-12-02
RR_301000618,OR_31000329,"Defective Product",Approved,2024-09-13
RR_301000619,OR_31003590,"Late Delivery",Approved,2024-03-17
RR_301000620,OR_31009628,"Late Delivery",Rejected,2023-12-30
RR_301000621,OR_31008137,"Defective Product",Rejected,2024-02-21
RR_301000622,OR_31009385,"Late Delivery",Rejected,2023-04-17
RR_301000623,OR_31005474,"Defective Product",Approved,2023-10-14
RR_301000624,OR_31008222,"Defective Product",Rejected,2023-07-18
RR_301000625,OR_31009082,"Wrong Item Shipped",Approved,2023-01-12
RR_301000626,OR_31006648,"Late Delivery",Rejected,2023-08-01
RR_301000627,OR_31000490,"Wrong Item Shipped",Rejected,2024-07-22
RR_301000628,OR_31005684,"Defective Product",Approved,2024-10-16
RR_301000629,OR_31006540,"Wrong Item Shipped",Rejected,2024-12-23
RR_301000630,OR_31003386,"Wrong Item Shipped",Approved,2023-08-09
RR_301000631,OR_31000636,"Late Delivery",Approved,2024-02-27
RR_301000632,OR_31006272,"Defective Product",Approved,2024-09-25
RR_301000633,OR_31003902,"Late Delivery",Approved,2024-12-05
RR_301000634,OR_31006698,"Defective Product",Approved,2024-01-29
RR_301000635,OR_31000949,"Defective Product",Rejected,2024-11-25
RR_301000636,OR_31001892,"Wrong Item Shipped",Approved,2024-06-13
RR_301000637,OR_31007645,"Wrong Item Shipped",Rejected,2023-08-20
RR_301000638,OR_31002107,"Wrong Item Shipped",Rejected,2024-05-04
RR_301000639,OR_31009955,"Wrong Item Shipped",Rejected,2023-10-02
RR_301000640,OR_31008541,"Wrong Item Shipped",Approved,2023-11-03
RR_301000641,OR_31002999,"Late Delivery",Rejected,2024-02-07
RR_301000642,OR_31002650,"Late Delivery",Rejected,2024-10-22
RR_301000643,OR_31005205,"Wrong Item Shipped",Rejected,2023-09-19
RR_301000644,OR_31009819,"Late Delivery",Approved,2024-11-24
RR_301000645,OR_31007133,"Wrong Item Shipped",Rejected,2024-03-23
RR_301000646,OR_31000618,"Late Delivery",Rejected,2023-07-14
RR_301000647,OR_31001643,"Defective Product",Approved,2023-10-16
RR_301000648,OR_31005065,"Wrong Item Shipped",Approved,2023-03-13
RR_301000649,OR_31007908,"Late Delivery",Rejected,2024-12-23
RR_301000650,OR_31002936,"Late Delivery",Approved,2024-01-06
RR_301000651,OR_31002431,"Wrong Item Shipped",Rejected,2023-09-14
RR_301000652,OR_31005338,"Defective Product",Approved,2023-10-07
RR_301000653,OR_31003869,"Late Delivery",Approved,2024-12-05
RR_301000654,OR_31009477,"Defective Product",Approved,2023-11-26
RR_301000655,OR_31004928,"Wrong Item Shipped",Rejected,2024-01-03
RR_301000656,OR_31002630,"Wrong Item Shipped",Approved,2024-01-30
RR_301000657,OR_31008745,"Late Delivery",Rejected,2023-09-17
RR_301000658,OR_31009539,"Late Delivery",Rejected,2023-03-01
RR_301000659,OR_31000304,"Defective Product",Approved,2023-02-18
RR_301000660,OR_31008647,"Wrong Item Shipped",Rejected,2023-08-18
RR_301000661,OR_31003704,"Late Delivery",Rejected,2023-09-18
RR_301000662,OR_31007578,"Defective Product",Approved,2023-02-03
RR_301000663,OR_31003755,"Late Delivery",Rejected,2023-02-24
RR_301000664,OR_31004623,"Wrong Item Shipped",Rejected,2024-02-23
RR_301000665,OR_31002981,"Defective Product",Approved,2023-07-02
RR_301000666,OR_31001144,"Defective Product",Rejected,2023-03-06
RR_301000667,OR_31007589,"Late Delivery",Approved,2024-12-08
RR_301000668,OR_31005275,"Wrong Item Shipped",Rejected,2023-07-14
RR_301000669,OR_31007633,"Wrong Item Shipped",Approved,2023-09-26
RR_301000670,OR_31001793,"Wrong Item Shipped",Approved,2024-10-14
RR_301000671,OR_31001494,"Late Delivery",Approved,2023-02-17
RR_301000672,OR_31002599,"Late Delivery",Rejected,2024-03-08
RR_301000673,OR_31007013,"Defective Product",Rejected,2023-09-20
RR_301000674,OR_31005653,"Defective Product",Approved,2024-05-10
RR_301000675,OR_31009724,"Late Delivery",Rejected,2023-09-15
RR_301000676,OR_31005713,"Late Delivery",Approved,2023-03-26
RR_301000677,OR_31006644,"Defective Product",Rejected,2023-08-01
RR_301000678,OR_31001378,"Defective Product",Rejected,2023-09-12
RR_301000679,OR_31008247,"Wrong Item Shipped",Rejected,2023-02-06
RR_301000680,OR_31006661,"Defective Product",Rejected,2023-12-15
RR_301000681,OR_31007697,"Wrong Item Shipped",Approved,2023-02-18
RR_301000682,OR_31005583,"Late Delivery",Rejected,2023-11-11
RR_301000683,OR_31003430,"Late Delivery",Approved,2024-04-20
RR_301000684,OR_31004228,"Defective Product",Approved,2023-01-19
RR_301000685,OR_31001992,"Late Delivery",Approved,2024-02-16
RR_301000686,OR_31008740,"Wrong Item Shipped",Rejected,2023-12-07
RR_301000687,OR_31006042,"Late Delivery",Rejected,2024-11-12
RR_301000688,OR_31002383,"Wrong Item Shipped",Rejected,2024-03-05
RR_301000689,OR_31009398,"Late Delivery",Rejected,2023-12-14
RR_301000690,OR_31003082,"Late Delivery",Rejected,2024-10-05
RR_301000691,OR_31004233,"Wrong Item Shipped",Approved,2024-09-16
RR_301000692,OR_31006076,"Defective Product",Rejected,2023-03-29
RR_301000693,OR_31006314,"Defective Product",Approved,2023-09-26
RR_301000694,OR_31000798,"Late Delivery",Approved,2023-03-15
RR_301000695,OR_31006246,"Wrong Item Shipped",Rejected,2024-02-18
RR_301000696,OR_31005239,"Defective Product",Approved,2024-10-14
RR_301000697,OR_31001823,"Wrong Item Shipped",Rejected,2023-10-28
RR_301000698,OR_31009372,"Late Delivery",Approved,2024-05-27
RR_301000699,OR_31003205,"Defective Product",Rejected,2023-04-07
RR_301000700,OR_31001986,"Late Delivery",Approved,2023-03-31
RR_301000701,OR_31009383,"Late Delivery",Rejected,2024-07-02
RR_301000702,OR_31005691,"Defective Product",Approved,2024-09-04
RR_301000703,OR_31005934,"Defective Product",Approved,2024-03-26
RR_301000704,OR_31001732,"Wrong Item Shipped",Approved,2024-04-14
RR_301000705,OR_31007464,"Defective Product",Approved,2024-04-12
RR_301000706,OR_31002844,"Late Delivery",Rejected,2023-10-31
RR_301000707,OR_31006794,"Defective Product",Rejected,2023-09-25
RR_301000708,OR_31005397,"Late Delivery",Rejected,2023-04-29
RR_301000709,OR_31008665,"Late Delivery",Approved,2024-11-01
RR_301000710,OR_31008507,"Defective Product",Rejected,2024-07-15
RR_301000711,OR_31000130,"Late Delivery",Rejected,2023-08-18
RR_301000712,OR_31004894,"Wrong Item Shipped",Approved,2023-05-25
RR_301000713,OR_31006346,"Late Delivery",Approved,2024-12-18
RR_301000714,OR_31001875,"Defective Product",Rejected,2024-05-11
RR_301000715,OR_31002633,"Defective Product",Approved,2023-04-25
RR_301000716,OR_31000755,"Wrong Item Shipped",Rejected,2024-06-14
RR_301000717,OR_31009164,"Wrong Item Shipped",Approved,2023-12-07
RR_301000718,OR_31001390,"Late Delivery",Rejected,2024-01-21
RR_301000719,OR_31004560,"Wrong Item Shipped",Rejected,2024-10-07
RR_301000720,OR_31002619,"Defective Product",Rejected,2023-03-31
RR_301000721,OR_31006298,"Late Delivery",Rejected,2023-09-25
RR_301000722,OR_31009387,"Defective Product",Rejected,2024-04-21
RR_301000723,OR_31003751,"Wrong Item Shipped",Rejected,2024-12-09
RR_301000724,OR_31002944,"Defective Product",Rejected,2023-05-04
RR_301000725,OR_31003950,"Defective Product",Approved,2024-08-15
RR_301000726,OR_31003437,"Wrong Item Shipped",Rejected,2024-10-07
RR_301000727,OR_31003994,"Wrong Item Shipped",Approved,2023-12-04
RR_301000728,OR_31005989,"Wrong Item Shipped",Approved,2023-01-16
RR_301000729,OR_31007509,"Late Delivery",Rejected,2023-10-02
RR_301000730,OR_31000056,"Defective Product",Rejected,2023-06-14
RR_301000731,OR_31002238,"Wrong Item Shipped",Approved,2024-04-03
RR_301000732,OR_31008142,"Defective Product",Approved,2023-08-21
RR_301000733,OR_31001593,"Defective Product",Rejected,2024-08-26
RR_301000734,OR_31004796,"Wrong Item Shipped",Rejected,2024-02-24
RR_301000735,OR_31000876,"Defective Product",Approved,2024-10-30
RR_301000736,OR_31000441,"Wrong Item Shipped",Approved,2024-08-26
RR_301000737,OR_31005927,"Defective Product",Approved,2023-11-29
RR_301000738,OR_31003546,"Late Delivery",Approved,2023-11-04
RR_301000739,OR_31002465,"Wrong Item Shipped",Approved,2024-05-29
RR_301000740,OR_31005077,"Late Delivery",Rejected,2023-07-14
RR_301000741,OR_31007504,"Wrong Item Shipped",Rejected,2023-08-14
RR_301000742,OR_31008033,"Defective Product",Rejected,2023-07-24
RR_301000743,OR_31005486,"Defective Product",Approved,2024-04-09
RR_301000744,OR_31006847,"Wrong Item Shipped",Approved,2023-07-07
RR_301000745,OR_31004345,"Late Delivery",Approved,2023-12-01
RR_301000746,OR_31006251,"Defective Product",Rejected,2024-04-06
RR_301000747,OR_31000730,"Defective Product",Approved,2024-12-28
RR_301000748,OR_31002835,"Defective Product",Approved,2024-10-06
RR_301000749,OR_31000302,"Defective Product",Approved,2023-01-17
RR_301000750,OR_31001643,"Defective Product",Rejected,2024-02-10
RR_301000751,OR_31009720,"Defective Product",Approved,2024-03-14
RR_301000752,OR_31007387,"Late Delivery",Approved,2023-01-30
RR_301000753,OR_31000699,"Late Delivery",Rejected,2023-05-01
RR_301000754,OR_31006112,"Wrong Item Shipped",Rejected,2024-08-30
RR_301000755,OR_31009635,"Defective Product",Rejected,2023-09-21
RR_301000756,OR_31006488,"Late Delivery",Approved,2024-11-04
RR_301000757,OR_31006234,"Defective Product",Rejected,2024-03-22
RR_301000758,OR_31001091,"Defective Product",Rejected,2024-12-09
RR_301000759,OR_31004774,"Defective Product",Approved,2023-03-11
RR_301000760,OR_31001306,"Defective Product",Rejected,2024-02-26
RR_301000761,OR_31004280,"Defective Product",Rejected,2024-08-11
RR_301000762,OR_31007305,"Late Delivery",Rejected,2024-11-01
RR_301000763,OR_31008059,"Wrong Item Shipped",Approved,2023-05-02
RR_301000764,OR_31001744,"Defective Product",Rejected,2024-10-25
RR_301000765,OR_31007495,"Late Delivery",Rejected,2024-10-22
RR_301000766,OR_31008314,"Defective Product",Approved,2024-11-24
RR_301000767,OR_31000278,"Wrong Item Shipped",Approved,2024-06-22
RR_301000768,OR_31001267,"Wrong Item Shipped",Rejected,2024-07-16
RR_301000769,OR_31007257,"Wrong Item Shipped",Approved,2023-07-21
RR_301000770,OR_31008425,"Late Delivery",Approved,2024-02-23
RR_301000771,OR_31007556,"Defective Product",Approved,2024-01-05
RR_301000772,OR_31007538,"Late Delivery",Rejected,2024-10-10
RR_301000773,OR_31004200,"Defective Product",Rejected,2024-10-21
RR_301000774,OR_31000190,"Late Delivery",Approved,2024-02-05
RR_301000775,OR_31003331,"Defective Product",Rejected,2024-07-17
RR_301000776,OR_31008014,"Defective Product",Approved,2023-02-18
RR_301000777,OR_31003553,"Wrong Item Shipped",Approved,2024-10-05
RR_301000778,OR_31001360,"Defective Product",Approved,2023-04-27
RR_301000779,OR_31003482,"Late Delivery",Rejected,2023-09-09
RR_301000780,OR_31001867,"Wrong Item Shipped",Rejected,2023-03-27
RR_301000781,OR_31008468,"Wrong Item Shipped",Rejected,2024-06-26
RR_301000782,OR_31000029,"Defective Product",Rejected,2023-03-10
RR_301000783,OR_31005556,"Wrong Item Shipped",Approved,2023-11-18
RR_301000784,OR_31009727,"Wrong Item Shipped",Rejected,2023-01-01
RR_301000785,OR_31001720,"Late Delivery",Approved,2023-07-03
RR_301000786,OR_31008236,"Defective Product",Approved,2024-10-08
RR_301000787,OR_31003082,"Defective Product",Rejected,2023-01-08
RR_301000788,OR_31001354,"Late Delivery",Approved,2024-06-10
RR_301000789,OR_31009821,"Defective Product",Approved,2024-04-29
RR_301000790,OR_31006284,"Late Delivery",Approved,2023-04-17
RR_301000791,OR_31000422,"Late Delivery",Approved,2024-02-23
RR_301000792,OR_31000809,"Defective Product",Rejected,2023-11-26
RR_301000793,OR_31003692,"Defective Product",Rejected,2024-07-16
RR_301000794,OR_31009877,"Defective Product",Approved,2024-03-19
RR_301000795,OR_31009851,"Late Delivery",Rejected,2023-01-21
RR_301000796,OR_31009832,"Defective Product",Approved,2023-09-22
RR_301000797,OR_31008728,"Defective Product",Approved,2023-05-25
RR_301000798,OR_31003540,"Defective Product",Approved,2024-01-08
RR_301000799,OR_31001797,"Wrong Item Shipped",Approved,2024-12-21
RR_301000800,OR_31005438,"Defective Product",Rejected,2023-05-09
RR_301000801,OR_31008001,"Late Delivery",Rejected,2023-06-05
RR_301000802,OR_31000699,"Late Delivery",Approved,2024-09-26
RR_301000803,OR_31009256,"Late Delivery",Approved,2023-09-21
RR_301000804,OR_31002740,"Late Delivery",Approved,2024-05-06
RR_301000805,OR_31009979,"Wrong Item Shipped",Rejected,2023-12-23
RR_301000806,OR_31001961,"Late Delivery",Approved,2023-03-22
RR_301000807,OR_31006280,"Late Delivery",Rejected,2024-06-29
RR_301000808,OR_31007025,"Wrong Item Shipped",Rejected,2023-05-19
RR_301000809,OR_31009625,"Defective Product",Approved,2024-05-26
