Or_ID,C_ID,P_ID,Order_Date,Order_Time,Qty,Coupon,DP_ID,Discount
OR_31001651,CS_11000967,PD_21006681,2023-10-16,08:47:52,8,"No Coupon",DV_61000003,0
OR_31001652,CS_11006186,PD_21004280,2023-04-15,22:49:22,7,TELL,DV_61000004,25
OR_31001653,CS_11005411,PD_21003560,2023-09-12,02:31:49,9,"No Coupon",DV_61000004,0
OR_31001654,CS_11005702,PD_21000925,2024-08-20,05:12:08,2,SYSTEM,DV_61000002,10
OR_31001655,CS_11004672,PD_21003027,2023-11-26,03:10:42,7,"No Coupon",DV_61000002,0
OR_31001656,CS_11007705,PD_21003606,2024-04-15,08:31:31,10,"No Coupon",DV_61000002,0
OR_31001657,CS_11002035,PD_21007938,2023-08-03,02:34:52,1,WEST,DV_61000003,10
OR_31001658,CS_11001192,PD_21006183,2024-05-27,09:06:31,1,"No Coupon",DV_61000003,0
OR_31001659,CS_11000931,PD_21000700,2024-04-19,14:01:30,4,"No Coupon",DV_61000001,0
OR_31001660,CS_11009952,PD_21006601,2023-06-14,11:20:42,5,PROBABLY,DV_61000002,25
OR_31001661,CS_11004162,PD_21006871,2024-07-20,10:09:04,5,"No Coupon",DV_61000001,0
OR_31001662,CS_11007736,PD_21005036,2024-10-08,22:28:45,8,"No Coupon",DV_61000005,0
OR_31001663,CS_11006276,PD_21002169,2023-12-16,16:13:59,10,COMMON,DV_61000003,15
OR_31001664,CS_11009903,PD_21003007,2023-08-23,19:17:51,7,"No Coupon",DV_61000004,0
OR_31001665,CS_11006590,PD_21009136,2024-08-07,09:33:15,6,"No Coupon",DV_61000005,0
OR_31001666,CS_11009084,PD_21006303,2024-12-09,07:07:18,5,"No Coupon",DV_61000004,0
OR_31001667,CS_11006881,PD_21005286,2023-06-14,18:31:37,3,HOLD,DV_61000005,40
OR_31001668,CS_11009666,PD_21009364,2023-03-20,08:23:35,7,TURN,DV_61000001,25
OR_31001669,CS_11007934,PD_21006330,2024-02-05,15:54:46,5,"No Coupon",DV_61000001,0
OR_31001670,CS_11009998,PD_21003285,2023-09-05,21:25:34,5,FAMILY,DV_61000003,25
OR_31001671,CS_11000988,PD_21005649,2023-08-23,17:09:24,10,"No Coupon",DV_61000004,0
OR_31001672,CS_11003499,PD_21005551,2024-01-22,01:31:17,4,PHYSICAL,DV_61000005,25
OR_31001673,CS_11002467,PD_21009078,2024-05-29,00:42:52,2,COUPLE,DV_61000002,15
OR_31001674,CS_11002400,PD_21009967,2023-03-04,16:48:21,8,"No Coupon",DV_61000002,0
OR_31001675,CS_11007148,PD_21004981,2023-05-04,09:42:19,2,LAY,DV_61000003,20
OR_31001676,CS_11002900,PD_21007789,2024-01-17,20:10:30,7,REVEAL,DV_61000004,5
OR_31001677,CS_11005819,PD_21003878,2023-01-07,12:30:59,10,SIZE,DV_61000002,10
OR_31001678,CS_11006542,PD_21004064,2024-02-29,17:55:09,8,"No Coupon",DV_61000003,0
OR_31001679,CS_11005432,PD_21001823,2024-12-12,10:41:07,1,TEAM,DV_61000003,25
OR_31001680,CS_11000423,PD_21000551,2024-09-13,19:45:36,1,CAUSE,DV_61000004,15
OR_31001681,CS_11005757,PD_21000048,2024-03-07,03:32:55,10,FORCE,DV_61000002,25
OR_31001682,CS_11003179,PD_21009905,2023-02-17,16:59:45,5,OFFER,DV_61000002,20
OR_31001683,CS_11000019,PD_21002665,2023-11-03,18:26:42,4,WORKER,DV_61000002,10
OR_31001684,CS_11001015,PD_21004023,2023-06-22,01:43:32,1,HISTORY,DV_61000001,40
OR_31001685,CS_11006315,PD_21006148,2024-06-28,20:01:25,4,FOCUS,DV_61000002,25
OR_31001686,CS_11004050,PD_21008046,2023-12-14,15:19:56,10,TABLE,DV_61000005,25
OR_31001687,CS_11007954,PD_21007651,2023-05-08,03:10:44,2,INTERVIEW,DV_61000001,35
OR_31001688,CS_11007765,PD_21004089,2023-10-13,08:42:45,1,"No Coupon",DV_61000001,0
OR_31001689,CS_11006318,PD_21003582,2024-05-06,21:11:48,2,"No Coupon",DV_61000001,0
OR_31001690,CS_11000889,PD_21007687,2024-07-16,19:23:49,5,RISK,DV_61000001,5
OR_31001691,CS_11002710,PD_21000641,2023-11-01,12:19:58,5,"No Coupon",DV_61000003,0
OR_31001692,CS_11003394,PD_21009639,2024-03-02,08:27:19,3,"No Coupon",DV_61000005,0
OR_31001693,CS_11008847,PD_21002089,2023-06-09,13:52:55,8,"No Coupon",DV_61000004,0
OR_31001694,CS_11005110,PD_21006456,2023-09-09,13:21:56,7,SEAT,DV_61000002,10
OR_31001695,CS_11004952,PD_21003106,2024-09-18,23:44:10,9,"No Coupon",DV_61000001,0
OR_31001696,CS_11004086,PD_21003321,2024-09-04,16:47:05,2,"No Coupon",DV_61000004,0
OR_31001697,CS_11007147,PD_21008519,2024-08-27,23:33:42,9,MAJOR,DV_61000003,15
OR_31001698,CS_11004472,PD_21009117,2023-03-14,04:39:00,4,CENTER,DV_61000004,15
OR_31001699,CS_11008599,PD_21001161,2023-01-26,16:45:32,1,PAINTING,DV_61000001,25
OR_31001700,CS_11009410,PD_21006054,2024-02-16,07:35:41,8,"No Coupon",DV_61000005,0
OR_31001701,CS_11002692,PD_21007558,2023-07-01,17:43:24,1,FIGURE,DV_61000004,25
OR_31001702,CS_11006029,PD_21002349,2024-11-03,16:57:11,5,OFFICE,DV_61000001,20
OR_31001703,CS_11008803,PD_21004383,2024-02-19,08:17:57,9,"No Coupon",DV_61000001,0
OR_31001704,CS_11003201,PD_21006437,2023-09-29,02:08:45,2,"No Coupon",DV_61000002,0
OR_31001705,CS_11008246,PD_21005731,2024-04-16,17:39:14,5,ENVIRONMENT,DV_61000002,20
OR_31001706,CS_11001830,PD_21009135,2024-03-20,07:41:00,7,DURING,DV_61000005,5
OR_31001707,CS_11001961,PD_21003668,2023-10-23,17:49:26,10,CONFERENCE,DV_61000002,15
OR_31001708,CS_11002311,PD_21009252,2024-01-13,15:01:08,2,"No Coupon",DV_61000005,0
OR_31001709,CS_11004425,PD_21005918,2024-06-26,01:19:26,1,"No Coupon",DV_61000003,0
OR_31001710,CS_11001843,PD_21000001,2024-10-08,17:36:51,2,"No Coupon",DV_61000003,0
OR_31001711,CS_11002388,PD_21006017,2023-06-23,13:14:53,5,"No Coupon",DV_61000002,0
OR_31001712,CS_11006419,PD_21004067,2023-01-25,07:34:55,9,"No Coupon",DV_61000003,0
OR_31001713,CS_11001065,PD_21001697,2023-08-28,22:53:53,10,"No Coupon",DV_61000004,0
OR_31001714,CS_11006508,PD_21000018,2024-02-23,19:13:34,7,"No Coupon",DV_61000004,0
OR_31001715,CS_11003729,PD_21003416,2024-11-04,20:35:14,4,INTO,DV_61000004,35
OR_31001716,CS_11007908,PD_21008520,2024-08-09,21:46:16,8,"No Coupon",DV_61000003,0
OR_31001717,CS_11002651,PD_21009055,2023-05-21,16:53:37,10,MACHINE,DV_61000004,15
OR_31001718,CS_11003445,PD_21006817,2023-11-21,12:43:17,3,"No Coupon",DV_61000005,0
OR_31001719,CS_11006655,PD_21005335,2024-07-23,01:11:06,7,"No Coupon",DV_61000001,0
OR_31001720,CS_11000742,PD_21001926,2024-06-20,12:38:34,8,FOOD,DV_61000002,25
OR_31001721,CS_11002070,PD_21007185,2024-01-08,18:22:24,9,FEEL,DV_61000005,25
OR_31001722,CS_11009439,PD_21003462,2024-09-07,17:40:37,3,MOVIE,DV_61000004,15
OR_31001723,CS_11005013,PD_21000685,2023-10-14,11:56:00,4,"No Coupon",DV_61000001,0
OR_31001724,CS_11002492,PD_21006834,2023-11-10,01:53:17,3,"No Coupon",DV_61000002,0
OR_31001725,CS_11003583,PD_21005172,2023-12-28,13:58:49,5,"No Coupon",DV_61000005,0
OR_31001726,CS_11009008,PD_21005184,2023-11-24,00:36:34,1,"No Coupon",DV_61000002,0
OR_31001727,CS_11006927,PD_21001559,2023-10-16,02:45:14,6,"No Coupon",DV_61000003,0
OR_31001728,CS_11008450,PD_21002612,2023-10-13,11:42:53,10,ATTORNEY,DV_61000004,10
OR_31001729,CS_11007714,PD_21008507,2023-03-13,06:04:00,6,TIME,DV_61000005,25
OR_31001730,CS_11001982,PD_21003664,2023-09-18,23:44:03,6,PLAN,DV_61000005,25
OR_31001731,CS_11005855,PD_21003740,2024-06-14,22:06:04,2,THAN,DV_61000001,25
OR_31001732,CS_11004619,PD_21000751,2023-11-09,21:36:47,2,GO,DV_61000001,50
OR_31001733,CS_11009260,PD_21001298,2024-09-27,08:49:25,3,"No Coupon",DV_61000001,0
OR_31001734,CS_11007763,PD_21006802,2024-07-28,04:15:03,7,"No Coupon",DV_61000002,0
OR_31001735,CS_11009160,PD_21009065,2023-01-27,12:41:41,3,"No Coupon",DV_61000004,0
OR_31001736,CS_11001657,PD_21005614,2023-11-16,19:06:11,2,"No Coupon",DV_61000002,0
OR_31001737,CS_11000434,PD_21009606,2023-02-16,08:40:09,2,PLAN,DV_61000004,25
OR_31001738,CS_11007344,PD_21002533,2023-02-28,22:18:28,8,"No Coupon",DV_61000005,0
OR_31001739,CS_11000386,PD_21002819,2023-09-03,12:06:17,5,"No Coupon",DV_61000002,0
OR_31001740,CS_11004750,PD_21008784,2023-05-03,01:32:10,3,"No Coupon",DV_61000002,0
OR_31001741,CS_11007059,PD_21000023,2024-08-20,04:58:52,1,SIMPLE,DV_61000002,10
OR_31001742,CS_11005806,PD_21001473,2023-05-31,16:03:39,9,CUT,DV_61000003,15
OR_31001743,CS_11009137,PD_21000797,2023-03-18,15:52:04,8,POLICY,DV_61000004,25
OR_31001744,CS_11001136,PD_21007137,2023-08-14,19:26:17,9,"No Coupon",DV_61000004,0
OR_31001745,CS_11000983,PD_21001565,2023-08-12,22:14:41,3,"No Coupon",DV_61000002,0
OR_31001746,CS_11004120,PD_21006000,2024-02-27,03:20:43,8,FISH,DV_61000003,25
OR_31001747,CS_11002349,PD_21006292,2023-02-27,03:19:06,1,BENEFIT,DV_61000002,12
OR_31001748,CS_11006377,PD_21002013,2024-06-27,06:03:01,8,"No Coupon",DV_61000004,0
OR_31001749,CS_11005901,PD_21009435,2024-11-18,20:24:07,9,YOUR,DV_61000005,30
OR_31001750,CS_11002101,PD_21009982,2024-08-09,11:27:40,5,PLAYER,DV_61000003,25
OR_31001751,CS_11003845,PD_21009882,2023-11-02,13:18:23,3,SOURCE,DV_61000003,10
OR_31001752,CS_11000514,PD_21007851,2023-12-22,14:48:07,9,MAGAZINE,DV_61000002,15
OR_31001753,CS_11002824,PD_21002746,2023-12-03,17:14:07,1,MORE,DV_61000005,15
OR_31001754,CS_11005592,PD_21000562,2023-09-27,06:02:38,9,"No Coupon",DV_61000004,0
OR_31001755,CS_11009963,PD_21006880,2023-02-06,08:08:54,3,"No Coupon",DV_61000001,0
OR_31001756,CS_11004498,PD_21006818,2024-01-07,07:12:23,1,"No Coupon",DV_61000004,0
OR_31001757,CS_11001227,PD_21000268,2023-02-16,19:50:36,1,STAFF,DV_61000004,10
OR_31001758,CS_11004937,PD_21008359,2023-12-28,06:04:48,5,"No Coupon",DV_61000005,0
OR_31001759,CS_11000915,PD_21005578,2023-05-09,16:02:31,8,RESEARCH,DV_61000003,5
OR_31001760,CS_11008847,PD_21005102,2024-07-19,23:18:50,8,"No Coupon",DV_61000004,0
OR_31001761,CS_11009453,PD_21009877,2023-02-25,08:56:59,1,"No Coupon",DV_61000003,0
OR_31001762,CS_11004619,PD_21001459,2023-01-11,08:50:53,6,"No Coupon",DV_61000005,0
OR_31001763,CS_11008988,PD_21008380,2024-09-30,00:59:33,10,"No Coupon",DV_61000005,0
OR_31001764,CS_11007488,PD_21005600,2023-05-20,11:30:09,6,"No Coupon",DV_61000002,0
OR_31001765,CS_11006149,PD_21004785,2023-11-20,17:58:51,1,RISE,DV_61000001,5
OR_31001766,CS_11009395,PD_21008988,2023-01-15,01:35:39,6,"No Coupon",DV_61000005,0
OR_31001767,CS_11007581,PD_21006525,2023-04-29,10:45:03,3,"No Coupon",DV_61000005,0
OR_31001768,CS_11006965,PD_21000302,2024-01-14,22:56:33,5,"No Coupon",DV_61000003,0
OR_31001769,CS_11003080,PD_21000360,2023-07-23,01:46:46,9,"No Coupon",DV_61000005,0
OR_31001770,CS_11004655,PD_21004376,2023-02-02,06:08:06,6,"No Coupon",DV_61000004,0
OR_31001771,CS_11002334,PD_21005598,2023-11-28,05:57:05,8,NEWSPAPER,DV_61000002,10
OR_31001772,CS_11001011,PD_21005815,2024-10-25,08:41:22,3,ASK,DV_61000002,10
OR_31001773,CS_11005869,PD_21006708,2024-07-13,04:13:14,3,"No Coupon",DV_61000004,0
OR_31001774,CS_11008321,PD_21002883,2023-08-31,23:23:23,5,"No Coupon",DV_61000005,0
OR_31001775,CS_11008953,PD_21004672,2024-04-10,20:41:35,1,"No Coupon",DV_61000001,0
OR_31001776,CS_11004202,PD_21002401,2024-09-02,09:30:41,10,"No Coupon",DV_61000005,0
OR_31001777,CS_11000306,PD_21004035,2024-01-19,13:46:52,10,"No Coupon",DV_61000002,0
OR_31001778,CS_11002206,PD_21009487,2024-06-20,04:18:20,6,WANT,DV_61000001,10
OR_31001779,CS_11000277,PD_21000981,2024-10-31,09:51:10,1,IN,DV_61000003,35
OR_31001780,CS_11009796,PD_21005082,2024-04-26,14:03:37,5,"No Coupon",DV_61000003,0
OR_31001781,CS_11006199,PD_21003157,2023-01-14,10:58:11,3,CHOOSE,DV_61000005,15
OR_31001782,CS_11006768,PD_21006142,2024-01-09,09:39:26,8,"No Coupon",DV_61000005,0
OR_31001783,CS_11004279,PD_21009339,2023-07-25,02:32:47,10,THOUSAND,DV_61000001,25
OR_31001784,CS_11009703,PD_21005664,2024-08-28,23:52:10,4,MONTH,DV_61000001,15
OR_31001785,CS_11009830,PD_21008090,2023-11-07,03:07:29,6,GAS,DV_61000005,50
OR_31001786,CS_11000766,PD_21006970,2023-08-07,00:29:32,3,HAPPEN,DV_61000002,40
OR_31001787,CS_11008108,PD_21002897,2023-10-29,15:39:36,1,"No Coupon",DV_61000003,0
OR_31001788,CS_11006812,PD_21005638,2023-05-03,23:00:11,5,TRUTH,DV_61000001,25
OR_31001789,CS_11008157,PD_21007629,2023-12-09,19:14:53,3,EDUCATION,DV_61000002,20
OR_31001790,CS_11006712,PD_21004167,2023-05-21,15:47:52,9,"No Coupon",DV_61000005,0
OR_31001791,CS_11003163,PD_21000823,2024-12-09,09:26:16,4,ARTIST,DV_61000004,10
OR_31001792,CS_11006981,PD_21001789,2024-09-22,06:49:06,1,"No Coupon",DV_61000001,0
OR_31001793,CS_11002633,PD_21003904,2023-09-24,08:58:50,5,EVERYONE,DV_61000004,20
OR_31001794,CS_11006878,PD_21005896,2024-07-21,03:16:47,7,"No Coupon",DV_61000002,0
OR_31001795,CS_11009333,PD_21000878,2023-09-28,19:13:18,1,"No Coupon",DV_61000003,0
OR_31001796,CS_11005291,PD_21002715,2023-11-23,18:39:09,8,COLLECTION,DV_61000002,15
OR_31001797,CS_11002750,PD_21001768,2023-05-24,04:45:26,3,RADIO,DV_61000003,5
OR_31001798,CS_11005558,PD_21003139,2023-06-26,17:41:15,10,RELATIONSHIP,DV_61000002,5
OR_31001799,CS_11006189,PD_21002689,2024-01-27,00:22:41,10,HERSELF,DV_61000001,40
OR_31001800,CS_11007243,PD_21003528,2023-07-11,15:56:21,7,MINUTE,DV_61000001,15
OR_31001801,CS_11006814,PD_21002919,2023-06-09,13:04:20,10,"No Coupon",DV_61000004,0
OR_31001802,CS_11005362,PD_21007053,2024-02-23,15:45:36,3,BROTHER,DV_61000002,12
OR_31001803,CS_11005682,PD_21004580,2024-11-11,10:27:49,10,MANAGE,DV_61000002,15
OR_31001804,CS_11002348,PD_21008195,2024-10-18,07:52:09,9,STATE,DV_61000004,10
OR_31001805,CS_11000973,PD_21007712,2024-04-01,05:27:28,6,STANDARD,DV_61000005,10
OR_31001806,CS_11003032,PD_21003642,2024-03-09,00:57:21,6,SORT,DV_61000002,10
OR_31001807,CS_11005018,PD_21007998,2024-01-21,20:29:00,10,BEGIN,DV_61000002,12
OR_31001808,CS_11001028,PD_21007837,2024-04-17,01:34:15,1,"No Coupon",DV_61000002,0
OR_31001809,CS_11001887,PD_21006588,2023-11-02,02:59:00,9,"No Coupon",DV_61000005,0
OR_31001810,CS_11002882,PD_21001071,2023-06-07,13:13:38,2,AGREE,DV_61000001,10
OR_31001811,CS_11003712,PD_21008758,2023-06-25,07:49:48,2,MAINTAIN,DV_61000004,15
OR_31001812,CS_11000963,PD_21001873,2024-02-09,06:30:01,6,"No Coupon",DV_61000005,0
OR_31001813,CS_11003537,PD_21003366,2024-02-26,09:47:07,7,RETURN,DV_61000003,5
OR_31001814,CS_11001261,PD_21005909,2024-10-03,16:01:11,8,"No Coupon",DV_61000003,0
OR_31001815,CS_11000590,PD_21007727,2023-01-27,22:26:07,3,DEGREE,DV_61000005,5
OR_31001816,CS_11002007,PD_21002145,2023-10-09,11:17:37,1,"No Coupon",DV_61000005,0
OR_31001817,CS_11005441,PD_21008149,2024-06-07,00:39:25,1,"No Coupon",DV_61000001,0
OR_31001818,CS_11003264,PD_21000488,2024-11-12,09:50:09,9,GOAL,DV_61000003,50
OR_31001819,CS_11003451,PD_21009944,2023-04-11,03:21:56,8,"No Coupon",DV_61000004,0
OR_31001820,CS_11009380,PD_21005307,2024-04-30,06:17:00,6,AGENT,DV_61000002,10
OR_31001821,CS_11002272,PD_21005529,2024-08-08,10:23:23,4,"No Coupon",DV_61000002,0
OR_31001822,CS_11006541,PD_21006110,2023-03-12,04:10:42,6,HOWEVER,DV_61000001,40
OR_31001823,CS_11005561,PD_21009642,2024-09-10,22:49:24,2,"No Coupon",DV_61000001,0
OR_31001824,CS_11004412,PD_21002342,2023-05-02,20:12:53,5,PEACE,DV_61000003,25
OR_31001825,CS_11000105,PD_21003921,2023-03-25,18:08:27,5,VARIOUS,DV_61000004,12
OR_31001826,CS_11008548,PD_21001670,2024-08-10,03:16:33,2,"No Coupon",DV_61000004,0
OR_31001827,CS_11000138,PD_21004778,2023-03-21,01:46:50,4,"No Coupon",DV_61000005,0
OR_31001828,CS_11006942,PD_21006050,2024-12-25,07:41:07,10,ALSO,DV_61000001,10
OR_31001829,CS_11003643,PD_21008693,2023-06-20,15:28:19,3,"No Coupon",DV_61000002,0
OR_31001830,CS_11000766,PD_21007145,2023-04-01,12:24:03,2,THEIR,DV_61000002,25
OR_31001831,CS_11009017,PD_21004358,2023-09-02,11:53:01,9,"No Coupon",DV_61000003,0
OR_31001832,CS_11007079,PD_21003147,2024-10-27,00:49:38,6,"No Coupon",DV_61000002,0
OR_31001833,CS_11004942,PD_21001977,2023-08-03,21:34:31,8,GUESS,DV_61000004,50
OR_31001834,CS_11003458,PD_21006063,2023-10-25,10:00:43,1,"No Coupon",DV_61000004,0
OR_31001835,CS_11004450,PD_21008566,2023-03-20,06:52:02,5,APPEAR,DV_61000001,10
OR_31001836,CS_11008237,PD_21009756,2024-09-03,13:20:45,8,BALL,DV_61000003,12
OR_31001837,CS_11003472,PD_21001492,2024-11-06,04:46:14,3,"No Coupon",DV_61000002,0
OR_31001838,CS_11000136,PD_21008341,2023-11-30,20:09:06,6,"No Coupon",DV_61000001,0
OR_31001839,CS_11001620,PD_21000762,2024-08-03,06:23:39,9,"No Coupon",DV_61000005,0
OR_31001840,CS_11007765,PD_21006504,2024-06-17,05:46:08,1,"No Coupon",DV_61000005,0
OR_31001841,CS_11000883,PD_21007933,2023-03-17,02:20:04,10,"No Coupon",DV_61000002,0
OR_31001842,CS_11007040,PD_21007454,2023-10-25,21:00:53,8,"No Coupon",DV_61000002,0
OR_31001843,CS_11005905,PD_21007135,2024-08-15,11:25:03,8,"No Coupon",DV_61000002,0
OR_31001844,CS_11008123,PD_21003786,2024-08-01,09:54:54,6,MANAGE,DV_61000004,15
OR_31001845,CS_11004808,PD_21003231,2023-07-19,10:43:05,9,"No Coupon",DV_61000002,0
OR_31001846,CS_11003155,PD_21009321,2023-04-05,23:30:21,10,HEAD,DV_61000005,40
OR_31001847,CS_11002704,PD_21007506,2023-11-20,22:18:12,9,TREATMENT,DV_61000002,25
OR_31001848,CS_11007476,PD_21001078,2023-11-04,15:31:08,3,"No Coupon",DV_61000003,0
OR_31001849,CS_11002130,PD_21002626,2023-11-09,13:40:15,1,"No Coupon",DV_61000005,0
OR_31001850,CS_11000021,PD_21001942,2024-01-18,01:04:14,3,THINK,DV_61000003,25
OR_31001851,CS_11004657,PD_21008084,2024-10-24,15:01:41,5,REPUBLICAN,DV_61000005,5
OR_31001852,CS_11005461,PD_21008725,2023-03-11,13:00:38,8,"No Coupon",DV_61000001,0
OR_31001853,CS_11007688,PD_21002636,2024-11-02,03:22:48,5,HER,DV_61000005,40
OR_31001854,CS_11007380,PD_21004137,2023-04-24,00:16:15,10,"No Coupon",DV_61000005,0
OR_31001855,CS_11000714,PD_21007686,2023-12-31,14:30:25,5,"No Coupon",DV_61000003,0
OR_31001856,CS_11002607,PD_21009588,2024-09-06,15:00:30,9,"No Coupon",DV_61000003,0
OR_31001857,CS_11001982,PD_21001884,2024-02-01,19:39:58,1,"No Coupon",DV_61000005,0
OR_31001858,CS_11002275,PD_21009029,2024-04-03,18:03:31,5,INCREASE,DV_61000005,35
OR_31001859,CS_11000498,PD_21004752,2024-05-11,06:39:54,1,"No Coupon",DV_61000004,0
OR_31001860,CS_11007436,PD_21005711,2023-01-20,11:06:00,4,MAKE,DV_61000001,15
OR_31001861,CS_11000507,PD_21003455,2023-06-15,14:43:59,5,"No Coupon",DV_61000001,0
OR_31001862,CS_11002961,PD_21001752,2024-01-09,15:04:35,8,PULL,DV_61000002,25
OR_31001863,CS_11009083,PD_21007294,2024-08-04,10:45:21,9,"No Coupon",DV_61000005,0
OR_31001864,CS_11009796,PD_21009455,2023-10-20,08:01:31,10,IMAGE,DV_61000005,35
OR_31001865,CS_11007641,PD_21007043,2023-08-28,01:21:53,8,DINNER,DV_61000005,5
OR_31001866,CS_11004683,PD_21001382,2024-01-12,13:26:43,2,"No Coupon",DV_61000005,0
OR_31001867,CS_11002523,PD_21007531,2024-06-10,17:38:08,5,"No Coupon",DV_61000001,0
OR_31001868,CS_11007513,PD_21006220,2023-05-16,19:10:35,3,RACE,DV_61000003,5
OR_31001869,CS_11006935,PD_21006468,2024-04-23,00:13:54,10,OF,DV_61000004,20
OR_31001870,CS_11009900,PD_21005696,2024-08-29,16:04:38,1,LEAVE,DV_61000003,20
OR_31001871,CS_11007806,PD_21006138,2023-11-06,14:39:14,2,HUNDRED,DV_61000003,40
OR_31001872,CS_11003888,PD_21006490,2024-09-18,23:20:32,5,"No Coupon",DV_61000001,0
OR_31001873,CS_11002905,PD_21002556,2023-06-16,18:34:59,7,"No Coupon",DV_61000004,0
OR_31001874,CS_11008867,PD_21006888,2023-04-02,06:23:07,4,ROAD,DV_61000005,5
OR_31001875,CS_11009271,PD_21000811,2024-04-29,00:15:57,8,BELIEVE,DV_61000001,12
OR_31001876,CS_11007979,PD_21004930,2023-04-24,01:16:23,2,NATION,DV_61000001,10
OR_31001877,CS_11003231,PD_21004101,2024-02-08,06:30:35,5,CATCH,DV_61000004,15
OR_31001878,CS_11000022,PD_21008698,2023-01-30,10:25:38,9,ALONE,DV_61000002,10
OR_31001879,CS_11001379,PD_21006222,2024-04-14,06:14:43,1,"No Coupon",DV_61000001,0
OR_31001880,CS_11001351,PD_21009351,2023-10-31,20:08:23,1,"No Coupon",DV_61000003,0
OR_31001881,CS_11006124,PD_21005926,2023-01-09,09:43:48,6,"No Coupon",DV_61000003,0
OR_31001882,CS_11005378,PD_21006420,2023-07-14,07:06:04,3,DURING,DV_61000005,5
OR_31001883,CS_11002817,PD_21009145,2023-07-14,18:20:29,4,"No Coupon",DV_61000001,0
OR_31001884,CS_11009497,PD_21009700,2024-12-28,06:25:35,9,"No Coupon",DV_61000005,0
OR_31001885,CS_11004517,PD_21004581,2023-09-19,05:06:32,10,"No Coupon",DV_61000001,0
OR_31001886,CS_11004496,PD_21007366,2024-08-02,05:22:06,4,MOVIE,DV_61000004,15
OR_31001887,CS_11005415,PD_21004361,2024-04-20,18:14:23,7,"No Coupon",DV_61000001,0
OR_31001888,CS_11006173,PD_21006247,2023-06-17,14:19:50,6,"No Coupon",DV_61000002,0
OR_31001889,CS_11005250,PD_21008267,2024-09-06,17:32:11,1,LITTLE,DV_61000003,20
OR_31001890,CS_11000796,PD_21008537,2024-03-17,19:26:41,1,"No Coupon",DV_61000004,0
OR_31001891,CS_11008080,PD_21002353,2024-11-07,22:01:27,3,"No Coupon",DV_61000003,0
OR_31001892,CS_11002267,PD_21002671,2024-07-05,23:33:43,7,"No Coupon",DV_61000005,0
OR_31001893,CS_11002621,PD_21001564,2023-06-14,12:47:53,8,TOGETHER,DV_61000004,25
OR_31001894,CS_11005246,PD_21000629,2024-10-22,22:16:33,10,"No Coupon",DV_61000002,0
OR_31001895,CS_11007573,PD_21007644,2023-07-26,23:16:25,4,"No Coupon",DV_61000003,0
OR_31001896,CS_11009988,PD_21002666,2024-06-05,07:59:31,5,RESOURCE,DV_61000001,5
OR_31001897,CS_11008782,PD_21002566,2023-08-12,01:38:42,9,WHATEVER,DV_61000001,10
OR_31001898,CS_11008618,PD_21008755,2023-05-18,06:51:15,6,POLITICS,DV_61000001,25
OR_31001899,CS_11008530,PD_21003969,2024-08-11,04:03:35,5,"No Coupon",DV_61000004,0
OR_31001900,CS_11005881,PD_21007286,2023-08-19,12:14:01,8,"No Coupon",DV_61000002,0
OR_31001901,CS_11008402,PD_21005079,2024-02-23,07:36:00,3,"No Coupon",DV_61000002,0
OR_31001902,CS_11008574,PD_21005409,2023-02-21,19:30:57,9,SURE,DV_61000002,10
OR_31001903,CS_11001626,PD_21001646,2024-09-26,01:20:56,5,"No Coupon",DV_61000003,0
OR_31001904,CS_11001610,PD_21000659,2024-02-04,11:26:58,8,PARTICULARLY,DV_61000004,25
OR_31001905,CS_11009004,PD_21005204,2024-09-27,17:51:09,7,"No Coupon",DV_61000001,0
OR_31001906,CS_11006480,PD_21009316,2023-05-13,02:12:33,2,NOTICE,DV_61000003,10
OR_31001907,CS_11005845,PD_21007919,2024-06-15,02:42:35,8,"No Coupon",DV_61000002,0
OR_31001908,CS_11001194,PD_21000454,2024-10-27,14:06:34,10,"No Coupon",DV_61000001,0
OR_31001909,CS_11009427,PD_21002061,2024-05-30,00:38:27,6,MARKET,DV_61000004,15
OR_31001910,CS_11000702,PD_21004391,2024-04-01,08:11:32,10,HOUSE,DV_61000005,40
OR_31001911,CS_11006573,PD_21007034,2024-02-22,21:32:39,7,"No Coupon",DV_61000002,0
OR_31001912,CS_11003258,PD_21005146,2023-10-29,21:22:39,3,"No Coupon",DV_61000002,0
OR_31001913,CS_11009262,PD_21006020,2023-12-19,15:12:55,1,"No Coupon",DV_61000002,0
OR_31001914,CS_11000724,PD_21001300,2023-12-14,14:42:55,4,UPON,DV_61000002,50
OR_31001915,CS_11004304,PD_21002509,2023-02-13,20:57:11,1,PROCESS,DV_61000001,25
OR_31001916,CS_11001698,PD_21002431,2023-06-07,13:23:14,6,"No Coupon",DV_61000004,0
OR_31001917,CS_11006994,PD_21003724,2024-08-18,05:18:52,4,"No Coupon",DV_61000003,0
OR_31001918,CS_11006793,PD_21002265,2023-07-28,16:50:38,6,MOUTH,DV_61000001,15
OR_31001919,CS_11009859,PD_21003925,2023-08-29,16:17:25,4,CENTRAL,DV_61000004,15
OR_31001920,CS_11009790,PD_21008648,2023-02-14,18:42:27,4,"No Coupon",DV_61000003,0
OR_31001921,CS_11004166,PD_21007837,2023-09-01,19:45:28,10,"No Coupon",DV_61000002,0
