Tr_ID,Or_ID,Transaction_Mode,Reward
TR_41001444,OR_31001418,Wallet,Yes
TR_41001445,OR_31008392,UPI,No
TR_41001446,OR_31009112,UPI,No
TR_41001447,OR_31007771,"Debit Card",Yes
TR_41001448,OR_31004381,"Credit Card",Yes
TR_41001449,OR_31008396,UPI,Yes
TR_41001450,OR_31009288,"Credit Card",Yes
TR_41001451,OR_31000416,Wallet,Yes
TR_41001452,OR_31000920,Wallet,No
TR_41001453,OR_31003612,Wallet,Yes
TR_41001454,OR_31002705,"Net Banking",Yes
TR_41001455,OR_31005944,"Net Banking",Yes
TR_41001456,OR_31004576,"Net Banking",No
TR_41001457,OR_31003522,"Credit Card",Yes
TR_41001458,OR_31009225,Wallet,Yes
TR_41001459,OR_31007919,"Net Banking",Yes
TR_41001460,OR_31003367,Wallet,No
TR_41001461,OR_31001375,"Credit Card",Yes
TR_41001462,OR_31004105,UPI,No
TR_41001463,OR_31007343,Wallet,Yes
TR_41001464,OR_31006990,"Net Banking",No
TR_41001465,OR_31005146,"Debit Card",No
TR_41001466,OR_31004536,"Net Banking",No
TR_41001467,OR_31007911,"Credit Card",No
TR_41001468,OR_31009256,"Net Banking",Yes
TR_41001469,OR_31001099,UPI,Yes
TR_41001470,OR_31006167,Wallet,No
TR_41001471,OR_31009624,"Debit Card",No
TR_41001472,OR_31002953,"Credit Card",No
TR_41001473,OR_31005920,UPI,No
TR_41001474,OR_31002530,UPI,No
TR_41001475,OR_31006917,"Net Banking",Yes
TR_41001476,OR_31007344,Wallet,Yes
TR_41001477,OR_31005718,"Net Banking",No
TR_41001478,OR_31006436,"Debit Card",No
TR_41001479,OR_31009727,UPI,Yes
TR_41001480,OR_31002879,"Credit Card",No
TR_41001481,OR_31001130,"Debit Card",Yes
TR_41001482,OR_31005135,"Net Banking",No
TR_41001483,OR_31007808,"Net Banking",No
TR_41001484,OR_31001971,"Debit Card",No
TR_41001485,OR_31006708,"Debit Card",Yes
TR_41001486,OR_31003285,"Credit Card",Yes
TR_41001487,OR_31005992,Wallet,No
TR_41001488,OR_31001688,"Credit Card",Yes
TR_41001489,OR_31003497,UPI,No
TR_41001490,OR_31007718,"Net Banking",No
TR_41001491,OR_31006759,UPI,No
TR_41001492,OR_31001457,"Net Banking",Yes
TR_41001493,OR_31000260,"Net Banking",No
TR_41001494,OR_31006315,"Credit Card",No
TR_41001495,OR_31007845,UPI,No
TR_41001496,OR_31009567,UPI,Yes
TR_41001497,OR_31000328,"Net Banking",No
TR_41001498,OR_31004577,"Net Banking",Yes
TR_41001499,OR_31005661,"Net Banking",Yes
TR_41001500,OR_31009482,"Net Banking",Yes
TR_41001501,OR_31005615,"Net Banking",No
TR_41001502,OR_31008246,"Debit Card",No
TR_41001503,OR_31006684,UPI,No
TR_41001504,OR_31008660,Wallet,No
TR_41001505,OR_31009032,"Credit Card",Yes
TR_41001506,OR_31008470,Wallet,Yes
TR_41001507,OR_31002422,"Net Banking",No
TR_41001508,OR_31005298,"Credit Card",No
TR_41001509,OR_31004912,UPI,Yes
TR_41001510,OR_31003975,Wallet,Yes
TR_41001511,OR_31005561,"Net Banking",No
TR_41001512,OR_31009261,"Debit Card",No
TR_41001513,OR_31003009,"Debit Card",Yes
TR_41001514,OR_31008580,"Net Banking",No
TR_41001515,OR_31003361,Wallet,Yes
TR_41001516,OR_31007125,"Net Banking",No
TR_41001517,OR_31002188,"Net Banking",No
TR_41001518,OR_31008704,UPI,No
TR_41001519,OR_31007503,Wallet,Yes
TR_41001520,OR_31007855,"Net Banking",Yes
TR_41001521,OR_31005318,Wallet,No
TR_41001522,OR_31009013,"Debit Card",Yes
TR_41001523,OR_31004084,UPI,No
TR_41001524,OR_31004052,UPI,Yes
TR_41001525,OR_31008310,"Debit Card",No
TR_41001526,OR_31007944,"Debit Card",No
TR_41001527,OR_31005264,"Net Banking",Yes
TR_41001528,OR_31006562,"Net Banking",No
TR_41001529,OR_31003617,"Credit Card",Yes
TR_41001530,OR_31002742,"Net Banking",Yes
TR_41001531,OR_31000930,UPI,Yes
TR_41001532,OR_31000339,"Credit Card",No
TR_41001533,OR_31001328,"Debit Card",Yes
TR_41001534,OR_31002236,Wallet,Yes
TR_41001535,OR_31005120,"Net Banking",No
TR_41001536,OR_31006100,UPI,Yes
TR_41001537,OR_31007458,"Debit Card",Yes
TR_41001538,OR_31004898,Wallet,No
TR_41001539,OR_31000276,"Credit Card",Yes
TR_41001540,OR_31000875,"Net Banking",Yes
TR_41001541,OR_31003550,UPI,No
TR_41001542,OR_31000634,Wallet,No
TR_41001543,OR_31006173,"Debit Card",Yes
TR_41001544,OR_31004340,"Credit Card",No
TR_41001545,OR_31004762,"Net Banking",No
TR_41001546,OR_31005335,"Debit Card",No
TR_41001547,OR_31009631,"Debit Card",No
TR_41001548,OR_31001889,"Credit Card",Yes
TR_41001549,OR_31006335,"Debit Card",Yes
TR_41001550,OR_31006411,"Debit Card",No
TR_41001551,OR_31004346,"Net Banking",Yes
TR_41001552,OR_31003789,UPI,Yes
TR_41001553,OR_31004123,"Debit Card",Yes
TR_41001554,OR_31001595,"Net Banking",No
TR_41001555,OR_31004878,"Credit Card",Yes
TR_41001556,OR_31005870,Wallet,Yes
TR_41001557,OR_31009466,UPI,Yes
TR_41001558,OR_31009597,"Credit Card",No
TR_41001559,OR_31002830,UPI,No
TR_41001560,OR_31007039,"Credit Card",Yes
TR_41001561,OR_31005745,UPI,Yes
TR_41001562,OR_31008156,UPI,Yes
TR_41001563,OR_31000514,Wallet,Yes
TR_41001564,OR_31000196,UPI,No
TR_41001565,OR_31002212,"Debit Card",Yes
TR_41001566,OR_31005004,"Net Banking",Yes
TR_41001567,OR_31008249,UPI,No
TR_41001568,OR_31009259,UPI,No
TR_41001569,OR_31008433,"Debit Card",No
TR_41001570,OR_31001204,"Debit Card",No
TR_41001571,OR_31004455,"Debit Card",Yes
TR_41001572,OR_31008597,"Credit Card",Yes
TR_41001573,OR_31007546,UPI,Yes
TR_41001574,OR_31008197,Wallet,Yes
TR_41001575,OR_31003975,UPI,No
TR_41001576,OR_31000165,"Credit Card",Yes
TR_41001577,OR_31000930,"Net Banking",No
TR_41001578,OR_31001928,Wallet,Yes
TR_41001579,OR_31002523,UPI,Yes
TR_41001580,OR_31002980,Wallet,No
TR_41001581,OR_31003444,"Debit Card",Yes
TR_41001582,OR_31000868,UPI,No
TR_41001583,OR_31003643,Wallet,Yes
TR_41001584,OR_31005108,"Debit Card",Yes
TR_41001585,OR_31000023,"Debit Card",Yes
TR_41001586,OR_31000381,Wallet,No
TR_41001587,OR_31007927,UPI,No
TR_41001588,OR_31006067,"Debit Card",Yes
TR_41001589,OR_31002621,"Debit Card",Yes
TR_41001590,OR_31006077,"Debit Card",Yes
TR_41001591,OR_31001998,"Net Banking",Yes
TR_41001592,OR_31007631,UPI,Yes
TR_41001593,OR_31009239,"Debit Card",Yes
TR_41001594,OR_31009079,Wallet,No
TR_41001595,OR_31000427,"Debit Card",Yes
TR_41001596,OR_31006318,"Credit Card",Yes
TR_41001597,OR_31003698,"Net Banking",No
TR_41001598,OR_31002609,UPI,No
TR_41001599,OR_31001122,"Debit Card",Yes
TR_41001600,OR_31000067,"Debit Card",No
TR_41001601,OR_31009236,Wallet,No
TR_41001602,OR_31003092,"Debit Card",Yes
TR_41001603,OR_31007832,UPI,No
TR_41001604,OR_31001881,"Net Banking",No
TR_41001605,OR_31005617,"Net Banking",No
TR_41001606,OR_31006989,Wallet,Yes
TR_41001607,OR_31007984,UPI,Yes
TR_41001608,OR_31004665,UPI,No
TR_41001609,OR_31007932,"Net Banking",No
TR_41001610,OR_31007494,UPI,Yes
TR_41001611,OR_31006606,UPI,Yes
TR_41001612,OR_31006569,Wallet,No
TR_41001613,OR_31001695,"Credit Card",Yes
TR_41001614,OR_31008499,UPI,No
TR_41001615,OR_31008591,"Credit Card",No
TR_41001616,OR_31004141,"Net Banking",Yes
TR_41001617,OR_31005915,Wallet,No
TR_41001618,OR_31005619,"Debit Card",No
TR_41001619,OR_31005954,"Debit Card",No
TR_41001620,OR_31000756,"Net Banking",Yes
TR_41001621,OR_31003562,Wallet,Yes
TR_41001622,OR_31006345,Wallet,No
TR_41001623,OR_31004054,"Debit Card",Yes
TR_41001624,OR_31007575,"Net Banking",Yes
TR_41001625,OR_31001912,Wallet,No
TR_41001626,OR_31008829,Wallet,No
TR_41001627,OR_31007209,Wallet,No
TR_41001628,OR_31007096,"Credit Card",Yes
TR_41001629,OR_31002250,Wallet,Yes
TR_41001630,OR_31009003,"Net Banking",Yes
TR_41001631,OR_31004721,"Debit Card",No
TR_41001632,OR_31000523,"Net Banking",Yes
TR_41001633,OR_31005367,Wallet,No
TR_41001634,OR_31006050,"Net Banking",Yes
TR_41001635,OR_31009472,UPI,No
TR_41001636,OR_31009736,Wallet,No
TR_41001637,OR_31001897,"Debit Card",No
TR_41001638,OR_31004953,Wallet,Yes
TR_41001639,OR_31001342,"Net Banking",No
TR_41001640,OR_31008896,"Debit Card",Yes
TR_41001641,OR_31002436,"Credit Card",Yes
TR_41001642,OR_31009112,"Net Banking",Yes
TR_41001643,OR_31003458,"Net Banking",Yes
TR_41001644,OR_31006486,Wallet,Yes
TR_41001645,OR_31001342,"Net Banking",No
TR_41001646,OR_31007347,"Net Banking",No
TR_41001647,OR_31006238,Wallet,No
TR_41001648,OR_31001897,"Net Banking",No
TR_41001649,OR_31009331,UPI,Yes
TR_41001650,OR_31007017,Wallet,No
TR_41001651,OR_31001654,"Credit Card",Yes
TR_41001652,OR_31004849,Wallet,No
TR_41001653,OR_31002707,"Credit Card",No
TR_41001654,OR_31004326,"Debit Card",Yes
TR_41001655,OR_31007475,"Debit Card",No
TR_41001656,OR_31002625,UPI,Yes
TR_41001657,OR_31006057,"Debit Card",No
TR_41001658,OR_31001378,"Net Banking",No
TR_41001659,OR_31004407,"Credit Card",No
TR_41001660,OR_31001669,"Credit Card",No
TR_41001661,OR_31006056,"Debit Card",No
TR_41001662,OR_31008474,"Credit Card",No
TR_41001663,OR_31005606,"Net Banking",Yes
TR_41001664,OR_31001695,"Debit Card",Yes
TR_41001665,OR_31001230,Wallet,Yes
TR_41001666,OR_31004866,"Credit Card",Yes
TR_41001667,OR_31003449,Wallet,Yes
TR_41001668,OR_31003682,"Net Banking",Yes
TR_41001669,OR_31006909,UPI,No
TR_41001670,OR_31007703,"Credit Card",Yes
TR_41001671,OR_31001334,"Net Banking",No
TR_41001672,OR_31001994,"Net Banking",No
TR_41001673,OR_31007288,"Credit Card",Yes
TR_41001674,OR_31001882,"Credit Card",Yes
TR_41001675,OR_31006496,"Credit Card",No
TR_41001676,OR_31004313,"Net Banking",Yes
TR_41001677,OR_31007766,"Credit Card",No
TR_41001678,OR_31005348,Wallet,No
TR_41001679,OR_31002967,UPI,No
TR_41001680,OR_31009732,UPI,Yes
TR_41001681,OR_31001300,"Credit Card",No
TR_41001682,OR_31004030,Wallet,No
TR_41001683,OR_31005992,UPI,Yes
TR_41001684,OR_31006897,UPI,Yes
TR_41001685,OR_31001040,"Debit Card",No
TR_41001686,OR_31007796,Wallet,No
TR_41001687,OR_31003387,UPI,No
TR_41001688,OR_31009334,UPI,No
TR_41001689,OR_31005412,Wallet,No
TR_41001690,OR_31002133,Wallet,No
TR_41001691,OR_31008777,"Debit Card",Yes
TR_41001692,OR_31005863,"Net Banking",No
TR_41001693,OR_31006702,"Debit Card",Yes
TR_41001694,OR_31008905,UPI,No
TR_41001695,OR_31004799,"Debit Card",Yes
TR_41001696,OR_31005552,Wallet,Yes
TR_41001697,OR_31008253,"Credit Card",No
TR_41001698,OR_31007562,UPI,No
TR_41001699,OR_31002234,"Net Banking",Yes
TR_41001700,OR_31007470,"Net Banking",Yes
TR_41001701,OR_31000959,"Net Banking",Yes
TR_41001702,OR_31006581,"Debit Card",Yes
TR_41001703,OR_31003808,"Net Banking",Yes
TR_41001704,OR_31000749,"Credit Card",No
TR_41001705,OR_31004976,"Net Banking",No
TR_41001706,OR_31009045,"Net Banking",No
TR_41001707,OR_31003567,"Credit Card",Yes
TR_41001708,OR_31003689,Wallet,No
TR_41001709,OR_31000340,Wallet,Yes
TR_41001710,OR_31007259,"Debit Card",Yes
TR_41001711,OR_31006166,UPI,No
TR_41001712,OR_31002053,Wallet,No
TR_41001713,OR_31007215,"Debit Card",No
TR_41001714,OR_31002277,Wallet,No
TR_41001715,OR_31001864,"Credit Card",Yes
TR_41001716,OR_31006313,UPI,No
TR_41001717,OR_31000635,"Credit Card",No
TR_41001718,OR_31007706,Wallet,No
TR_41001719,OR_31004216,"Debit Card",Yes
TR_41001720,OR_31006135,"Credit Card",No
TR_41001721,OR_31006413,"Credit Card",No
TR_41001722,OR_31007374,"Debit Card",No
TR_41001723,OR_31009076,"Credit Card",Yes
TR_41001724,OR_31005409,"Debit Card",Yes
TR_41001725,OR_31005688,UPI,No
TR_41001726,OR_31005470,"Credit Card",Yes
TR_41001727,OR_31002234,UPI,No
TR_41001728,OR_31001283,UPI,No
TR_41001729,OR_31004473,"Net Banking",No
TR_41001730,OR_31007402,Wallet,No
TR_41001731,OR_31002661,"Debit Card",Yes
TR_41001732,OR_31003592,"Credit Card",Yes
TR_41001733,OR_31005570,Wallet,No
TR_41001734,OR_31003177,"Net Banking",Yes
TR_41001735,OR_31002275,"Credit Card",Yes
TR_41001736,OR_31008696,"Credit Card",No
TR_41001737,OR_31009858,Wallet,No
TR_41001738,OR_31007933,"Net Banking",No
TR_41001739,OR_31001450,"Credit Card",Yes
TR_41001740,OR_31000221,UPI,Yes
TR_41001741,OR_31009523,"Credit Card",No
TR_41001742,OR_31009831,"Credit Card",Yes
TR_41001743,OR_31006059,"Debit Card",No
TR_41001744,OR_31007203,"Credit Card",Yes
TR_41001745,OR_31006408,UPI,No
TR_41001746,OR_31003836,Wallet,No
TR_41001747,OR_31007015,"Debit Card",Yes
TR_41001748,OR_31007694,"Net Banking",No
TR_41001749,OR_31009245,"Net Banking",No
TR_41001750,OR_31003789,UPI,No
TR_41001751,OR_31005457,UPI,No
TR_41001752,OR_31001344,"Credit Card",Yes
TR_41001753,OR_31001566,UPI,No
TR_41001754,OR_31003308,"Credit Card",No
TR_41001755,OR_31005054,"Debit Card",No
TR_41001756,OR_31004741,Wallet,Yes
TR_41001757,OR_31005878,UPI,Yes
TR_41001758,OR_31008834,"Debit Card",No
TR_41001759,OR_31003494,"Net Banking",Yes
TR_41001760,OR_31007812,Wallet,Yes
TR_41001761,OR_31009445,"Debit Card",Yes
TR_41001762,OR_31009164,"Debit Card",Yes
TR_41001763,OR_31002663,UPI,Yes
TR_41001764,OR_31005619,"Debit Card",No
TR_41001765,OR_31001843,Wallet,No
TR_41001766,OR_31006578,"Credit Card",Yes
TR_41001767,OR_31005237,"Net Banking",Yes
TR_41001768,OR_31000809,Wallet,Yes
TR_41001769,OR_31009433,"Net Banking",Yes
TR_41001770,OR_31005776,Wallet,Yes
TR_41001771,OR_31000201,UPI,Yes
TR_41001772,OR_31003495,"Net Banking",No
TR_41001773,OR_31000450,"Net Banking",No
TR_41001774,OR_31000947,"Credit Card",Yes
TR_41001775,OR_31008381,"Net Banking",No
TR_41001776,OR_31002163,UPI,No
TR_41001777,OR_31002440,UPI,Yes
TR_41001778,OR_31001717,"Debit Card",No
TR_41001779,OR_31002566,"Credit Card",Yes
TR_41001780,OR_31002831,"Debit Card",No
TR_41001781,OR_31004213,"Net Banking",Yes
TR_41001782,OR_31003770,"Credit Card",No
TR_41001783,OR_31005840,"Credit Card",Yes
TR_41001784,OR_31007643,"Net Banking",No
TR_41001785,OR_31004987,UPI,No
TR_41001786,OR_31005549,"Debit Card",No
TR_41001787,OR_31000933,Wallet,No
TR_41001788,OR_31007751,Wallet,Yes
TR_41001789,OR_31002310,"Credit Card",Yes
TR_41001790,OR_31004578,"Credit Card",Yes
TR_41001791,OR_31007545,UPI,Yes
TR_41001792,OR_31001992,"Net Banking",No
TR_41001793,OR_31003438,Wallet,No
TR_41001794,OR_31008692,"Credit Card",No
TR_41001795,OR_31001041,Wallet,No
TR_41001796,OR_31000072,UPI,Yes
TR_41001797,OR_31008782,"Net Banking",No
TR_41001798,OR_31001837,"Credit Card",Yes
TR_41001799,OR_31002859,"Credit Card",No
TR_41001800,OR_31002982,"Net Banking",Yes
TR_41001801,OR_31000800,"Credit Card",Yes
TR_41001802,OR_31004943,"Credit Card",No
TR_41001803,OR_31002891,"Debit Card",Yes
TR_41001804,OR_31003275,UPI,No
TR_41001805,OR_31000314,"Credit Card",No
TR_41001806,OR_31000626,UPI,No
TR_41001807,OR_31004360,UPI,Yes
TR_41001808,OR_31000007,"Net Banking",No
TR_41001809,OR_31004442,Wallet,Yes
TR_41001810,OR_31001919,"Credit Card",No
TR_41001811,OR_31004270,"Debit Card",No
TR_41001812,OR_31007687,"Credit Card",No
TR_41001813,OR_31009189,"Debit Card",No
TR_41001814,OR_31000879,UPI,No
TR_41001815,OR_31004349,Wallet,Yes
TR_41001816,OR_31002277,UPI,Yes
TR_41001817,OR_31003474,"Net Banking",Yes
TR_41001818,OR_31006266,"Credit Card",No
TR_41001819,OR_31000739,"Net Banking",Yes
TR_41001820,OR_31007310,Wallet,Yes
TR_41001821,OR_31000829,"Credit Card",No
TR_41001822,OR_31005849,"Credit Card",Yes
TR_41001823,OR_31000015,Wallet,Yes
TR_41001824,OR_31002765,"Net Banking",Yes
TR_41001825,OR_31005647,"Net Banking",No
TR_41001826,OR_31007478,"Debit Card",No
TR_41001827,OR_31006701,"Debit Card",No
TR_41001828,OR_31000061,"Credit Card",No
TR_41001829,OR_31003679,"Debit Card",No
TR_41001830,OR_31009984,"Net Banking",No
TR_41001831,OR_31005476,UPI,Yes
TR_41001832,OR_31006346,"Net Banking",Yes
TR_41001833,OR_31003801,"Credit Card",Yes
TR_41001834,OR_31003837,Wallet,Yes
TR_41001835,OR_31009091,Wallet,No
TR_41001836,OR_31009050,UPI,Yes
TR_41001837,OR_31005962,UPI,No
TR_41001838,OR_31004234,"Credit Card",Yes
TR_41001839,OR_31003434,Wallet,No
TR_41001840,OR_31008967,Wallet,No
TR_41001841,OR_31001475,Wallet,Yes
TR_41001842,OR_31002213,"Credit Card",No
TR_41001843,OR_31004075,UPI,Yes
TR_41001844,OR_31005782,UPI,Yes
TR_41001845,OR_31003226,Wallet,Yes
TR_41001846,OR_31009460,"Net Banking",Yes
TR_41001847,OR_31001074,UPI,Yes
TR_41001848,OR_31007840,Wallet,Yes
TR_41001849,OR_31006030,Wallet,No
TR_41001850,OR_31001366,"Net Banking",No
TR_41001851,OR_31000937,"Debit Card",No
TR_41001852,OR_31000178,"Debit Card",No
TR_41001853,OR_31009090,"Net Banking",No
TR_41001854,OR_31007055,"Credit Card",Yes
TR_41001855,OR_31009506,"Net Banking",Yes
TR_41001856,OR_31006018,"Debit Card",No
TR_41001857,OR_31001075,"Debit Card",Yes
TR_41001858,OR_31008440,"Credit Card",No
TR_41001859,OR_31006311,"Net Banking",Yes
TR_41001860,OR_31003618,"Debit Card",Yes
TR_41001861,OR_31002454,"Net Banking",Yes
TR_41001862,OR_31009703,"Net Banking",No
TR_41001863,OR_31003495,"Credit Card",Yes
TR_41001864,OR_31005522,Wallet,Yes
TR_41001865,OR_31005478,Wallet,Yes
TR_41001866,OR_31000135,"Credit Card",Yes
TR_41001867,OR_31009004,Wallet,No
TR_41001868,OR_31006480,UPI,Yes
TR_41001869,OR_31005395,"Credit Card",No
TR_41001870,OR_31007222,"Debit Card",No
TR_41001871,OR_31007297,"Net Banking",No
TR_41001872,OR_31001479,Wallet,No
TR_41001873,OR_31002156,"Net Banking",Yes
TR_41001874,OR_31002312,UPI,No
TR_41001875,OR_31005309,Wallet,Yes
TR_41001876,OR_31008443,Wallet,No
TR_41001877,OR_31003397,"Debit Card",No
TR_41001878,OR_31002102,"Credit Card",Yes
TR_41001879,OR_31007747,"Debit Card",No
TR_41001880,OR_31009614,"Debit Card",No
TR_41001881,OR_31006523,"Debit Card",Yes
TR_41001882,OR_31009315,"Debit Card",Yes
TR_41001883,OR_31007305,Wallet,Yes
TR_41001884,OR_31004405,"Debit Card",No
TR_41001885,OR_31008879,Wallet,No
TR_41001886,OR_31005242,"Debit Card",No
TR_41001887,OR_31004613,"Net Banking",Yes
TR_41001888,OR_31007563,"Debit Card",No
TR_41001889,OR_31004565,"Net Banking",Yes
TR_41001890,OR_31002124,"Credit Card",Yes
TR_41001891,OR_31006135,"Credit Card",Yes
TR_41001892,OR_31006128,Wallet,Yes
TR_41001893,OR_31008187,Wallet,No
TR_41001894,OR_31000118,"Net Banking",No
TR_41001895,OR_31008187,UPI,No
TR_41001896,OR_31004983,UPI,No
TR_41001897,OR_31006725,"Net Banking",No
TR_41001898,OR_31004333,Wallet,Yes
TR_41001899,OR_31005579,UPI,No
TR_41001900,OR_31001164,"Net Banking",No
TR_41001901,OR_31003309,Wallet,Yes
TR_41001902,OR_31004136,"Debit Card",Yes
TR_41001903,OR_31007763,"Debit Card",Yes
TR_41001904,OR_31000682,Wallet,Yes
TR_41001905,OR_31006066,"Net Banking",Yes
TR_41001906,OR_31002846,"Debit Card",No
TR_41001907,OR_31004931,Wallet,No
TR_41001908,OR_31001731,"Credit Card",Yes
TR_41001909,OR_31009217,"Net Banking",No
TR_41001910,OR_31004795,Wallet,Yes
TR_41001911,OR_31005418,Wallet,Yes
TR_41001912,OR_31002521,"Debit Card",No
TR_41001913,OR_31009269,"Debit Card",Yes
TR_41001914,OR_31008339,Wallet,No
TR_41001915,OR_31003254,"Net Banking",No
TR_41001916,OR_31002567,"Net Banking",No
TR_41001917,OR_31008733,"Debit Card",No
TR_41001918,OR_31006976,"Debit Card",Yes
TR_41001919,OR_31000061,"Credit Card",No
TR_41001920,OR_31004641,"Net Banking",Yes
TR_41001921,OR_31007607,"Credit Card",Yes
TR_41001922,OR_31003607,"Debit Card",No
TR_41001923,OR_31003827,UPI,No
TR_41001924,OR_31003468,Wallet,No
TR_41001925,OR_31005562,"Debit Card",No
TR_41001926,OR_31008752,"Credit Card",Yes
TR_41001927,OR_31005815,"Debit Card",Yes
TR_41001928,OR_31003257,"Debit Card",Yes
TR_41001929,OR_31006600,UPI,Yes
TR_41001930,OR_31005911,UPI,No
TR_41001931,OR_31009207,"Debit Card",Yes
TR_41001932,OR_31002828,UPI,Yes
TR_41001933,OR_31007688,UPI,Yes
TR_41001934,OR_31007050,Wallet,No
TR_41001935,OR_31007439,Wallet,Yes
TR_41001936,OR_31001904,UPI,No
TR_41001937,OR_31005376,UPI,Yes
TR_41001938,OR_31001085,UPI,No
TR_41001939,OR_31002812,"Credit Card",Yes
TR_41001940,OR_31001331,"Debit Card",Yes
TR_41001941,OR_31008853,"Debit Card",Yes
TR_41001942,OR_31004537,"Net Banking",Yes
TR_41001943,OR_31009197,"Net Banking",No
TR_41001944,OR_31002585,"Net Banking",No
TR_41001945,OR_31000709,"Credit Card",Yes
TR_41001946,OR_31001253,"Debit Card",No
TR_41001947,OR_31001397,UPI,No
TR_41001948,OR_31002806,"Net Banking",No
TR_41001949,OR_31006747,Wallet,Yes
TR_41001950,OR_31002257,"Credit Card",Yes
TR_41001951,OR_31002277,UPI,Yes
TR_41001952,OR_31002035,Wallet,No
TR_41001953,OR_31009601,"Net Banking",No
TR_41001954,OR_31002663,"Debit Card",Yes
TR_41001955,OR_31002231,Wallet,No
TR_41001956,OR_31004087,"Credit Card",Yes
TR_41001957,OR_31009281,"Credit Card",Yes
TR_41001958,OR_31005066,Wallet,No
TR_41001959,OR_31009414,"Credit Card",No
TR_41001960,OR_31000932,"Net Banking",Yes
TR_41001961,OR_31004067,"Debit Card",Yes
TR_41001962,OR_31009098,Wallet,No
TR_41001963,OR_31002097,Wallet,No
TR_41001964,OR_31006568,"Credit Card",Yes
TR_41001965,OR_31007769,Wallet,Yes
TR_41001966,OR_31002198,"Debit Card",Yes
TR_41001967,OR_31006665,"Debit Card",No
TR_41001968,OR_31001924,Wallet,No
TR_41001969,OR_31004672,"Debit Card",Yes
TR_41001970,OR_31000951,UPI,No
TR_41001971,OR_31000957,UPI,No
TR_41001972,OR_31003414,"Net Banking",No
TR_41001973,OR_31004402,"Net Banking",No
TR_41001974,OR_31005806,"Debit Card",No
TR_41001975,OR_31003340,UPI,No
TR_41001976,OR_31004893,"Debit Card",No
TR_41001977,OR_31002650,"Debit Card",Yes
TR_41001978,OR_31001759,"Net Banking",No
TR_41001979,OR_31006062,"Debit Card",No
TR_41001980,OR_31007342,"Net Banking",Yes
TR_41001981,OR_31006202,UPI,Yes
TR_41001982,OR_31002479,UPI,Yes
TR_41001983,OR_31008867,Wallet,Yes
TR_41001984,OR_31004467,"Debit Card",No
TR_41001985,OR_31005050,"Debit Card",Yes
TR_41001986,OR_31003466,"Net Banking",Yes
TR_41001987,OR_31001881,"Net Banking",Yes
TR_41001988,OR_31008165,"Debit Card",No
TR_41001989,OR_31008084,"Credit Card",No
TR_41001990,OR_31004377,UPI,Yes
TR_41001991,OR_31002270,"Credit Card",Yes
TR_41001992,OR_31002402,Wallet,Yes
TR_41001993,OR_31008880,"Net Banking",Yes
TR_41001994,OR_31001539,"Net Banking",Yes
TR_41001995,OR_31003492,"Net Banking",Yes
TR_41001996,OR_31007138,Wallet,Yes
TR_41001997,OR_31008567,"Net Banking",Yes
TR_41001998,OR_31003337,Wallet,Yes
TR_41001999,OR_31003423,UPI,Yes
TR_41002000,OR_31007176,"Net Banking",No
TR_41002001,OR_31001824,Wallet,Yes
TR_41002002,OR_31002697,Wallet,Yes
TR_41002003,OR_31002596,UPI,No
TR_41002004,OR_31002465,"Debit Card",No
TR_41002005,OR_31008311,"Credit Card",No
TR_41002006,OR_31004766,"Net Banking",Yes
TR_41002007,OR_31008300,UPI,No
TR_41002008,OR_31008609,"Debit Card",Yes
TR_41002009,OR_31000663,"Credit Card",No
TR_41002010,OR_31008098,"Credit Card",Yes
TR_41002011,OR_31001496,"Net Banking",Yes
TR_41002012,OR_31003475,"Debit Card",Yes
TR_41002013,OR_31004833,Wallet,Yes
TR_41002014,OR_31001178,"Credit Card",No
TR_41002015,OR_31009674,Wallet,Yes
TR_41002016,OR_31009299,UPI,No
TR_41002017,OR_31005404,"Debit Card",Yes
TR_41002018,OR_31001675,UPI,No
TR_41002019,OR_31006183,"Net Banking",No
TR_41002020,OR_31003890,UPI,Yes
TR_41002021,OR_31000049,Wallet,Yes
TR_41002022,OR_31009312,"Credit Card",No
TR_41002023,OR_31000426,UPI,No
TR_41002024,OR_31000812,UPI,No
TR_41002025,OR_31001829,"Credit Card",Yes
TR_41002026,OR_31005067,"Debit Card",No
TR_41002027,OR_31009928,Wallet,Yes
TR_41002028,OR_31007921,"Debit Card",No
TR_41002029,OR_31009262,UPI,No
TR_41002030,OR_31004541,Wallet,Yes
TR_41002031,OR_31004392,Wallet,Yes
TR_41002032,OR_31009535,UPI,Yes
TR_41002033,OR_31004060,"Credit Card",Yes
TR_41002034,OR_31008600,"Net Banking",No
TR_41002035,OR_31009872,UPI,No
TR_41002036,OR_31002012,"Debit Card",No
TR_41002037,OR_31008092,Wallet,No
TR_41002038,OR_31001920,"Credit Card",No
TR_41002039,OR_31007728,"Credit Card",No
TR_41002040,OR_31001868,"Net Banking",No
TR_41002041,OR_31009499,Wallet,Yes
TR_41002042,OR_31002727,Wallet,Yes
TR_41002043,OR_31007819,"Debit Card",Yes
TR_41002044,OR_31003003,Wallet,No
TR_41002045,OR_31007529,"Credit Card",No
TR_41002046,OR_31000410,"Net Banking",No
TR_41002047,OR_31009507,Wallet,No
TR_41002048,OR_31007740,"Credit Card",Yes
TR_41002049,OR_31005428,"Credit Card",No
TR_41002050,OR_31002462,UPI,Yes
